,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,Station_Type,datetime,day_of_week,is_weekend,season,AQI_Level
42,2013,3,2,18,44.0,55.0,50.0,73.0,900.0,23.0,1.5,1020.4,-16.0,0.0,NE,0.7,Changping,Suburban,2013-03-02 18:00:00,5,1,Spring,Moderate
43,2013,3,2,19,47.0,60.0,34.0,76.0,1000.0,18.0,0.3,1020.0,-15.3,0.0,NE,0.6,Changping,Suburban,2013-03-02 19:00:00,5,1,Spring,Moderate
44,2013,3,2,20,52.0,65.0,43.0,84.0,1300.0,12.0,0.0,1019.9,-15.2,0.0,NE,0.2,Changping,Suburban,2013-03-02 20:00:00,5,1,Spring,Moderate
45,2013,3,2,21,69.0,76.0,51.0,82.0,1700.0,9.0,-1.2,1019.7,-13.7,0.0,N,1.0,Changping,Suburban,2013-03-02 21:00:00,5,1,Spring,Moderate
46,2013,3,2,22,72.0,83.0,49.0,82.0,1600.0,8.0,-2.1,1019.1,-13.3,0.0,NNE,0.4,Changping,Suburban,2013-03-02 22:00:00,5,1,Spring,Moderate
47,2013,3,2,23,62.0,71.0,68.0,87.0,2000.0,9.0,-2.2,1018.2,-13.4,0.0,NNE,1.1,Changping,Suburban,2013-03-02 23:00:00,5,1,Spring,Moderate
48,2013,3,3,0,73.0,87.0,41.0,76.0,1500.0,7.0,-2.4,1017.4,-13.0,0.0,N,1.0,Changping,Suburban,2013-03-03 00:00:00,6,1,Spring,Moderate
49,2013,3,3,1,50.0,60.0,36.0,73.0,1399.0,7.0,-3.8,1016.5,-12.2,0.0,NNW,1.4,Changping,Suburban,2013-03-03 01:00:00,6,1,Spring,Moderate
50,2013,3,3,2,60.0,62.0,37.0,75.0,1500.0,7.0,-3.8,1015.1,-12.7,0.0,NNE,0.8,Changping,Suburban,2013-03-03 02:00:00,6,1,Spring,Moderate
51,2013,3,3,3,60.0,63.0,41.0,74.0,1600.0,7.0,-4.0,1014.1,-13.4,0.0,NE,0.7,Changping,Suburban,2013-03-03 03:00:00,6,1,Spring,Moderate
52,2013,3,3,4,64.0,66.0,31.0,69.0,1200.0,6.0,-4.8,1013.6,-13.2,0.0,NNE,0.2,Changping,Suburban,2013-03-03 04:00:00,6,1,Spring,Moderate
53,2013,3,3,5,56.0,58.0,34.0,71.0,1300.0,6.0,-5.6,1013.2,-13.0,0.0,ENE,0.5,Changping,Suburban,2013-03-03 05:00:00,6,1,Spring,Moderate
54,2013,3,3,6,53.0,59.0,24.0,68.0,1399.0,6.0,-5.7,1013.2,-13.1,0.0,NE,0.0,Changping,Suburban,2013-03-03 06:00:00,6,1,Spring,Moderate
55,2013,3,3,7,52.0,62.0,25.0,68.0,1700.0,6.0,-3.3,1013.5,-12.8,0.0,NE,0.8,Changping,Suburban,2013-03-03 07:00:00,6,1,Spring,Moderate
56,2013,3,3,8,58.0,75.0,51.0,71.0,2399.0,12.0,-0.3,1012.8,-11.4,0.0,NNW,0.5,Changping,Suburban,2013-03-03 08:00:00,6,1,Spring,Moderate
57,2013,3,3,9,81.0,106.0,69.0,72.0,2000.0,15.0,3.4,1012.5,-12.6,0.0,SSE,0.8,Changping,Suburban,2013-03-03 09:00:00,6,1,Spring,Lightly Polluted
58,2013,3,3,10,84.0,101.0,78.0,84.0,2200.0,17.0,6.5,1011.4,-12.2,0.0,SE,2.1,Changping,Suburban,2013-03-03 10:00:00,6,1,Spring,Lightly Polluted
59,2013,3,3,11,106.0,148.0,91.0,93.0,1899.0,20.0,9.0,1010.4,-11.6,0.0,ESE,1.4,Changping,Suburban,2013-03-03 11:00:00,6,1,Spring,Lightly Polluted
60,2013,3,3,12,110.0,135.0,78.0,89.0,1800.0,24.0,12.2,1009.1,-13.7,0.0,SE,1.8,Changping,Suburban,2013-03-03 12:00:00,6,1,Spring,Lightly Polluted
61,2013,3,3,13,113.0,151.0,64.0,80.0,1500.0,30.0,15.6,1007.5,-13.8,0.0,NW,5.4,Changping,Suburban,2013-03-03 13:00:00,6,1,Spring,Lightly Polluted
62,2013,3,3,14,100.0,151.0,36.0,53.0,1000.0,52.0,16.6,1006.9,-14.1,0.0,NW,5.3,Changping,Suburban,2013-03-03 14:00:00,6,1,Spring,Lightly Polluted
63,2013,3,3,15,68.0,128.0,14.0,20.0,400.0,78.0,17.0,1006.8,-14.9,0.0,NW,2.3,Changping,Suburban,2013-03-03 15:00:00,6,1,Spring,Moderate
64,2013,3,3,16,32.0,90.0,10.0,16.0,400.0,82.0,16.1,1006.9,-14.4,0.0,ENE,0.7,Changping,Suburban,2013-03-03 16:00:00,6,1,Spring,Good
65,2013,3,3,17,21.0,71.0,27.0,21.0,400.0,76.0,13.9,1007.6,-14.1,0.0,SSE,0.6,Changping,Suburban,2013-03-03 17:00:00,6,1,Spring,Good
66,2013,3,3,18,16.0,33.0,17.0,22.0,400.0,72.0,12.4,1009.0,-14.4,0.0,E,0.8,Changping,Suburban,2013-03-03 18:00:00,6,1,Spring,Good
67,2013,3,3,19,18.0,43.0,12.0,35.0,600.0,59.0,8.9,1010.0,-13.5,0.0,NW,0.9,Changping,Suburban,2013-03-03 19:00:00,6,1,Spring,Good
68,2013,3,3,20,24.0,56.0,27.0,46.0,800.0,45.0,7.7,1010.1,-12.2,0.0,ENE,0.5,Changping,Suburban,2013-03-03 20:00:00,6,1,Spring,Good
69,2013,3,3,21,29.0,55.0,27.0,42.0,700.0,47.0,6.9,1010.6,-12.3,0.0,N,0.7,Changping,Suburban,2013-03-03 21:00:00,6,1,Spring,Good
70,2013,3,3,22,23.0,46.0,25.0,69.0,1300.0,19.0,6.8,1011.2,-11.9,0.0,NE,1.5,Changping,Suburban,2013-03-03 22:00:00,6,1,Spring,Good
71,2013,3,3,23,30.0,78.0,14.0,24.0,700.0,52.0,8.6,1012.1,-11.4,0.0,NE,2.0,Changping,Suburban,2013-03-03 23:00:00,6,1,Spring,Good
72,2013,3,4,0,25.0,42.0,30.0,22.0,400.0,57.0,9.2,1013.2,-12.6,0.0,ENE,2.4,Changping,Suburban,2013-03-04 00:00:00,0,0,Spring,Good
73,2013,3,4,1,16.0,38.0,24.0,13.0,300.0,72.0,7.3,1014.2,-12.5,0.0,NE,2.1,Changping,Suburban,2013-03-04 01:00:00,0,0,Spring,Good
74,2013,3,4,2,8.0,31.0,29.0,14.0,300.0,74.0,6.1,1014.4,-13.5,0.0,NW,1.4,Changping,Suburban,2013-03-04 02:00:00,0,0,Spring,Good
75,2013,3,4,3,6.0,20.0,4.0,10.0,400.0,76.0,6.6,1014.2,-14.8,0.0,N,4.0,Changping,Suburban,2013-03-04 03:00:00,0,0,Spring,Good
76,2013,3,4,4,7.0,13.0,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,0.0,NW,2.6,Changping,Suburban,2013-03-04 04:00:00,0,0,Spring,Good
77,2013,3,4,5,3.0,14.0,31.0,46.0,600.0,38.0,5.4,1015.4,-12.1,0.0,NW,4.7,Changping,Suburban,2013-03-04 05:00:00,0,0,Spring,Good
78,2013,3,4,6,10.0,24.0,43.0,43.0,500.0,39.0,4.2,1016.1,-12.3,0.0,N,3.0,Changping,Suburban,2013-03-04 06:00:00,0,0,Spring,Good
79,2013,3,4,7,12.0,28.0,38.0,38.0,700.0,42.0,6.3,1016.8,-12.3,0.0,N,0.8,Changping,Suburban,2013-03-04 07:00:00,0,0,Spring,Good
80,2013,3,4,8,12.0,32.0,29.0,34.0,700.0,48.0,8.9,1017.4,-12.9,0.0,ENE,1.6,Changping,Suburban,2013-03-04 08:00:00,0,0,Spring,Good
81,2013,3,4,9,16.0,29.0,21.0,19.0,500.0,65.0,10.2,1017.6,-13.8,0.0,NW,3.8,Changping,Suburban,2013-03-04 09:00:00,0,0,Spring,Good
82,2013,3,4,10,14.0,23.0,16.0,12.0,400.0,76.0,11.4,1017.1,-14.4,0.0,NNW,4.2,Changping,Suburban,2013-03-04 10:00:00,0,0,Spring,Good
83,2013,3,4,11,7.0,16.0,7.0,11.0,400.0,80.0,12.7,1016.6,-15.1,0.0,NNW,4.4,Changping,Suburban,2013-03-04 11:00:00,0,0,Spring,Good
84,2013,3,4,12,8.0,22.0,6.0,9.0,400.0,85.0,14.6,1015.4,-14.6,0.0,NNW,3.5,Changping,Suburban,2013-03-04 12:00:00,0,0,Spring,Good
85,2013,3,4,13,14.0,16.0,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,0.0,NNW,3.4,Changping,Suburban,2013-03-04 13:00:00,0,0,Spring,Good
86,2013,3,4,14,11.0,13.0,14.0,11.0,400.0,91.0,16.1,1013.1,-16.9,0.0,NW,3.0,Changping,Suburban,2013-03-04 14:00:00,0,0,Spring,Good
87,2013,3,4,15,21.0,24.0,11.0,10.0,400.0,95.0,16.1,1012.5,-16.9,0.0,NW,2.3,Changping,Suburban,2013-03-04 15:00:00,0,0,Spring,Good
88,2013,3,4,16,10.0,17.0,10.0,12.0,400.0,92.0,14.8,1012.0,-14.4,0.0,SSW,3.3,Changping,Suburban,2013-03-04 16:00:00,0,0,Spring,Good
89,2013,3,4,17,13.0,15.0,8.0,21.0,400.0,86.0,12.9,1012.4,-14.0,0.0,SSW,2.6,Changping,Suburban,2013-03-04 17:00:00,0,0,Spring,Good
90,2013,3,4,18,17.0,29.0,14.0,40.0,500.0,81.0,11.3,1012.7,-13.7,0.0,SSW,1.2,Changping,Suburban,2013-03-04 18:00:00,0,0,Spring,Good
91,2013,3,4,19,32.0,54.0,39.0,63.0,700.0,57.0,8.7,1013.2,-12.5,0.0,ENE,0.5,Changping,Suburban,2013-03-04 19:00:00,0,0,Spring,Good
92,2013,3,4,20,43.0,71.0,66.0,91.0,1100.0,25.0,5.9,1013.4,-11.7,0.0,ENE,0.2,Changping,Suburban,2013-03-04 20:00:00,0,0,Spring,Moderate
93,2013,3,4,21,64.0,99.0,41.0,88.0,1500.0,18.0,4.9,1013.4,-11.7,0.0,ESE,0.8,Changping,Suburban,2013-03-04 21:00:00,0,0,Spring,Moderate
94,2013,3,4,22,76.0,123.0,25.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,0.0,E,0.6,Changping,Suburban,2013-03-04 22:00:00,0,0,Spring,Lightly Polluted
95,2013,3,4,23,54.0,75.0,21.0,43.0,1200.0,95.0,4.2,1012.6,-11.5,0.0,ESE,0.8,Changping,Suburban,2013-03-04 23:00:00,0,0,Spring,Moderate
96,2013,3,5,0,57.0,69.0,20.0,37.0,900.0,95.0,2.8,1012.1,-11.2,0.0,ENE,0.4,Changping,Suburban,2013-03-05 00:00:00,1,0,Spring,Moderate
97,2013,3,5,1,48.0,57.0,38.0,66.0,1600.0,95.0,1.8,1011.7,-11.0,0.0,NNE,0.6,Changping,Suburban,2013-03-05 01:00:00,1,0,Spring,Moderate
98,2013,3,5,2,65.0,99.0,32.0,54.0,1399.0,95.0,0.8,1011.4,-10.7,0.0,N,0.6,Changping,Suburban,2013-03-05 02:00:00,1,0,Spring,Moderate
99,2013,3,5,3,60.0,75.0,20.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,0.0,N,0.2,Changping,Suburban,2013-03-05 03:00:00,1,0,Spring,Moderate
100,2013,3,5,4,46.0,54.0,40.0,75.0,2299.0,95.0,-0.1,1010.7,-10.1,0.0,N,0.8,Changping,Suburban,2013-03-05 04:00:00,1,0,Spring,Moderate
101,2013,3,5,5,72.0,113.0,33.0,61.0,1600.0,95.0,-0.4,1010.9,-9.6,0.0,NNE,0.0,Changping,Suburban,2013-03-05 05:00:00,1,0,Spring,Moderate
102,2013,3,5,6,56.0,78.0,31.0,53.0,1100.0,95.0,-1.0,1010.6,-9.4,0.0,NE,0.8,Changping,Suburban,2013-03-05 06:00:00,1,0,Spring,Moderate
103,2013,3,5,7,51.0,66.0,34.0,69.0,2000.0,95.0,1.2,1010.4,-9.4,0.0,NE,0.0,Changping,Suburban,2013-03-05 07:00:00,1,0,Spring,Moderate
104,2013,3,5,8,68.0,105.0,40.0,66.0,1600.0,95.0,6.0,1010.1,-10.7,0.0,SW,0.8,Changping,Suburban,2013-03-05 08:00:00,1,0,Spring,Moderate
105,2013,3,5,9,68.0,92.0,64.0,75.0,1899.0,95.0,7.8,1009.5,-10.6,0.0,SW,1.0,Changping,Suburban,2013-03-05 09:00:00,1,0,Spring,Moderate
106,2013,3,5,10,87.0,117.0,81.0,92.0,2000.0,95.0,9.3,1008.7,-9.3,0.0,ESE,1.4,Changping,Suburban,2013-03-05 10:00:00,1,0,Spring,Lightly Polluted
107,2013,3,5,11,107.0,160.0,66.0,80.0,1500.0,95.0,11.0,1007.8,-9.4,0.0,SW,1.9,Changping,Suburban,2013-03-05 11:00:00,1,0,Spring,Lightly Polluted
108,2013,3,5,12,109.0,139.0,52.0,65.0,1399.0,55.0,12.1,1006.5,-9.0,0.0,ENE,0.4,Changping,Suburban,2013-03-05 12:00:00,1,0,Spring,Lightly Polluted
109,2013,3,5,13,118.0,133.0,56.0,55.0,1300.0,95.0,13.2,1005.1,-8.1,0.0,SSW,0.9,Changping,Suburban,2013-03-05 13:00:00,1,0,Spring,Moderately Polluted
110,2013,3,5,14,126.0,127.0,57.0,60.0,1300.0,95.0,14.1,1004.3,-8.6,0.0,SE,1.7,Changping,Suburban,2013-03-05 14:00:00,1,0,Spring,Moderately Polluted
111,2013,3,5,15,124.0,129.0,62.0,76.0,1500.0,92.0,13.5,1004.1,-8.4,0.0,SE,0.8,Changping,Suburban,2013-03-05 15:00:00,1,0,Spring,Moderately Polluted
112,2013,3,5,16,149.0,153.0,59.0,81.0,1500.0,86.0,13.3,1003.9,-8.0,0.0,ESE,1.1,Changping,Suburban,2013-03-05 16:00:00,1,0,Spring,Moderately Polluted
113,2013,3,5,17,151.0,158.0,74.0,104.0,1600.0,81.0,12.4,1004.5,-8.2,0.0,ESE,1.0,Changping,Suburban,2013-03-05 17:00:00,1,0,Spring,Heavily Polluted
114,2013,3,5,18,158.0,168.0,64.0,106.0,1700.0,81.0,8.9,1005.0,-7.8,0.0,NE,0.8,Changping,Suburban,2013-03-05 18:00:00,1,0,Spring,Heavily Polluted
115,2013,3,5,19,161.0,172.0,69.0,123.0,1899.0,81.0,7.7,1005.4,-7.6,0.0,NNE,0.2,Changping,Suburban,2013-03-05 19:00:00,1,0,Spring,Heavily Polluted
116,2013,3,5,20,173.0,187.0,68.0,127.0,2299.0,81.0,6.3,1005.9,-7.3,0.0,NNE,0.7,Changping,Suburban,2013-03-05 20:00:00,1,0,Spring,Heavily Polluted
117,2013,3,5,21,191.0,210.0,55.0,94.0,2100.0,81.0,5.6,1006.0,-7.3,0.0,NNE,0.2,Changping,Suburban,2013-03-05 21:00:00,1,0,Spring,Heavily Polluted
118,2013,3,5,22,181.0,183.0,52.0,78.0,1899.0,81.0,4.9,1005.8,-7.0,0.0,N,1.7,Changping,Suburban,2013-03-05 22:00:00,1,0,Spring,Heavily Polluted
119,2013,3,5,23,141.0,160.0,50.0,74.0,1899.0,81.0,3.7,1005.7,-6.9,0.0,NE,0.4,Changping,Suburban,2013-03-05 23:00:00,1,0,Spring,Moderately Polluted
120,2013,3,6,0,152.0,154.0,65.0,115.0,2700.0,81.0,3.9,1005.4,-6.7,0.0,N,2.0,Changping,Suburban,2013-03-06 00:00:00,2,0,Spring,Heavily Polluted
121,2013,3,6,1,180.0,195.0,52.0,72.0,2000.0,81.0,3.9,1005.3,-6.4,0.0,NE,0.8,Changping,Suburban,2013-03-06 01:00:00,2,0,Spring,Heavily Polluted
122,2013,3,6,2,146.0,153.0,53.5,100.0,2399.0,81.0,3.5,1004.8,-6.5,0.0,N,0.7,Changping,Suburban,2013-03-06 02:00:00,2,0,Spring,Moderately Polluted
123,2013,3,6,3,170.0,179.0,55.0,74.0,2449.5,81.0,3.7,1004.7,-6.3,0.0,N,1.3,Changping,Suburban,2013-03-06 03:00:00,2,0,Spring,Heavily Polluted
124,2013,3,6,4,149.0,155.0,59.0,87.5,2500.0,81.0,2.4,1004.7,-6.2,0.0,N,1.0,Changping,Suburban,2013-03-06 04:00:00,2,0,Spring,Moderately Polluted
125,2013,3,6,5,182.0,202.0,79.0,101.0,2500.0,81.0,2.1,1004.9,-5.8,0.0,N,0.9,Changping,Suburban,2013-03-06 05:00:00,2,0,Spring,Heavily Polluted
126,2013,3,6,6,182.0,187.0,86.0,94.0,2399.0,81.0,3.1,1005.1,-5.6,0.0,N,0.2,Changping,Suburban,2013-03-06 06:00:00,2,0,Spring,Heavily Polluted
127,2013,3,6,7,187.0,190.0,82.0,93.0,2700.0,81.0,4.7,1006.2,-4.9,0.0,ESE,0.6,Changping,Suburban,2013-03-06 07:00:00,2,0,Spring,Heavily Polluted
128,2013,3,6,8,195.0,200.0,86.0,85.0,2299.0,81.0,5.5,1006.2,-4.1,0.0,SW,0.5,Changping,Suburban,2013-03-06 08:00:00,2,0,Spring,Heavily Polluted
129,2013,3,6,9,193.0,200.0,81.0,86.0,2799.0,81.0,7.2,1006.1,-5.5,0.0,W,0.5,Changping,Suburban,2013-03-06 09:00:00,2,0,Spring,Heavily Polluted
130,2013,3,6,10,200.0,219.0,109.0,114.0,3600.0,81.0,8.8,1005.8,-5.5,0.0,NNW,0.7,Changping,Suburban,2013-03-06 10:00:00,2,0,Spring,Heavily Polluted
131,2013,3,6,11,239.0,280.0,123.0,126.0,3700.0,81.0,10.6,1004.6,-5.0,0.0,N,0.9,Changping,Suburban,2013-03-06 11:00:00,2,0,Spring,Heavily Polluted
132,2013,3,6,12,271.0,324.0,142.0,142.0,3799.0,81.0,12.4,1003.4,-4.7,0.0,NW,0.8,Changping,Suburban,2013-03-06 12:00:00,2,0,Spring,Severely Polluted
133,2013,3,6,13,281.0,315.0,118.0,135.0,3399.0,81.0,13.4,1002.5,-4.3,0.0,SE,1.2,Changping,Suburban,2013-03-06 13:00:00,2,0,Spring,Severely Polluted
134,2013,3,6,14,263.0,284.0,121.0,152.0,3600.0,81.0,13.6,1001.8,-4.1,0.0,S,2.3,Changping,Suburban,2013-03-06 14:00:00,2,0,Spring,Severely Polluted
135,2013,3,6,15,293.0,347.0,118.0,160.0,3299.0,81.0,13.6,1001.9,-3.7,0.0,ESE,2.2,Changping,Suburban,2013-03-06 15:00:00,2,0,Spring,Severely Polluted
136,2013,3,6,16,302.0,352.0,112.0,158.0,3100.0,66.0,13.3,1002.2,-3.9,0.0,ESE,1.6,Changping,Suburban,2013-03-06 16:00:00,2,0,Spring,Severely Polluted
137,2013,3,6,17,312.0,342.0,107.0,141.0,2700.0,60.0,12.0,1002.7,-3.8,0.0,SE,1.3,Changping,Suburban,2013-03-06 17:00:00,2,0,Spring,Severely Polluted
138,2013,3,6,18,280.0,300.0,110.0,135.0,2600.0,39.0,10.6,1003.7,-3.9,0.0,SSW,1.2,Changping,Suburban,2013-03-06 18:00:00,2,0,Spring,Severely Polluted
139,2013,3,6,19,265.0,281.0,104.0,137.0,2700.0,37.0,7.1,1004.5,-3.5,0.0,NNW,1.4,Changping,Suburban,2013-03-06 19:00:00,2,0,Spring,Severely Polluted
140,2013,3,6,20,268.0,285.0,107.0,136.0,3299.0,37.0,6.2,1004.9,-3.5,0.0,SE,0.7,Changping,Suburban,2013-03-06 20:00:00,2,0,Spring,Severely Polluted
141,2013,3,6,21,272.0,281.0,136.0,156.0,4799.0,37.0,5.5,1004.5,-3.6,0.0,ENE,0.6,Changping,Suburban,2013-03-06 21:00:00,2,0,Spring,Severely Polluted
142,2013,3,6,22,339.0,394.0,118.0,148.0,5500.0,35.0,4.7,1004.3,-3.6,0.0,E,0.7,Changping,Suburban,2013-03-06 22:00:00,2,0,Spring,Severely Polluted
